2498-phrase.npy: IDR: 97.39%     MR: 0.65%       FAR: 1.96%      IDA: 0.887 ms
2543-phrase.npy: IDR: 99.60%     MR: 0.40%       FAR: 0.00%      IDA: 0.391 ms
2492-phrase.npy: IDR: 99.32%     MR: 0.68%       FAR: 0.00%      IDA: 0.348 ms
2489-phrase.npy: IDR: 99.59%     MR: 0.41%       FAR: 0.00%      IDA: 0.761 ms
2568-phrase.npy: IDR: 98.61%     MR: 1.39%       FAR: 0.00%      IDA: 0.877 ms
2555-phrase.npy: IDR: 87.90%     MR: 8.87%       FAR: 3.23%      IDA: 1.864 ms
2547-phrase.npy: IDR: 97.18%     MR: 0.00%       FAR: 2.82%      IDA: 1.050 ms
2586-phrase.npy: IDR: 98.82%     MR: 1.18%       FAR: 0.00%      IDA: 0.774 ms
2580-phrase.npy: IDR: 99.28%     MR: 0.72%       FAR: 0.00%      IDA: 0.523 ms

identification_rate:0.9585 miss_rate:0.0196 false_alarm_rate:0.02186 identification_accuracy:0.0008377
