1554-phrase.npy: IDR: 96.23%     MR: 3.14%       FAR: 0.63%      IDA: 1.014 ms
1567-phrase.npy: IDR: 98.79%     MR: 0.61%       FAR: 0.61%      IDA: 1.185 ms
1463-phrase.npy: IDR: 99.01%     MR: 0.99%       FAR: 0.00%      IDA: 1.359 ms
1456-phrase.npy: IDR: 98.91%     MR: 1.09%       FAR: 0.00%      IDA: 0.285 ms
1578-phrase.npy: IDR: 99.17%     MR: 0.00%       FAR: 0.83%      IDA: 0.398 ms
1614-phrase.npy: IDR: 98.72%     MR: 1.28%       FAR: 0.00%      IDA: 0.969 ms
1599-phrase.npy: IDR: 99.22%     MR: 0.78%       FAR: 0.00%      IDA: 0.341 ms
1629-phrase.npy: IDR: 97.50%     MR: 1.25%       FAR: 1.25%      IDA: 0.348 ms
1617-phrase.npy: IDR: 99.41%     MR: 0.59%       FAR: 0.00%      IDA: 0.818 ms
1613-phrase.npy: IDR: 94.64%     MR: 4.46%       FAR: 0.89%      IDA: 0.801 ms
1610-phrase.npy: IDR: 87.72%     MR: 4.68%       FAR: 7.60%      IDA: 1.799 ms
1780-phrase.npy: IDR: 98.68%     MR: 1.32%       FAR: 0.00%      IDA: 0.821 ms
1665-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.277 ms
1795-phrase.npy: IDR: 91.23%     MR: 0.88%       FAR: 7.89%      IDA: 0.931 ms
1806-phrase.npy: IDR: 92.95%     MR: 3.85%       FAR: 3.21%      IDA: 1.707 ms
1930-phrase.npy: IDR: 91.98%     MR: 3.74%       FAR: 4.28%      IDA: 1.640 ms
1809-phrase.npy: IDR: 73.75%     MR: 15.62%      FAR: 10.62%     IDA: 1.635 ms
1783-phrase.npy: IDR: 97.47%     MR: 2.53%       FAR: 0.00%      IDA: 0.702 ms
1796-phrase.npy: IDR: 98.55%     MR: 1.45%       FAR: 0.00%      IDA: 1.004 ms
1940-phrase.npy: IDR: 88.48%     MR: 2.09%       FAR: 9.42%      IDA: 1.068 ms
2003-phrase.npy: IDR: 97.75%     MR: 2.25%       FAR: 0.00%      IDA: 1.544 ms
1987-phrase.npy: IDR: 98.50%     MR: 0.00%       FAR: 1.50%      IDA: 0.438 ms
1973-phrase.npy: IDR: 73.08%     MR: 12.82%      FAR: 14.10%     IDA: 2.050 ms
1965-phrase.npy: IDR: 99.34%     MR: 0.00%       FAR: 0.66%      IDA: 0.525 ms
1978-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.172 ms
1591-phrase.npy: IDR: 99.70%     MR: 0.00%       FAR: 0.30%      IDA: 0.354 ms
1953-phrase.npy: IDR: 98.43%     MR: 1.57%       FAR: 0.00%      IDA: 0.375 ms
2101-phrase.npy: IDR: 73.02%     MR: 22.22%      FAR: 4.76%      IDA: 2.828 ms
2097-phrase.npy: IDR: 96.10%     MR: 0.98%       FAR: 2.93%      IDA: 0.935 ms
2110-phrase.npy: IDR: 94.66%     MR: 1.46%       FAR: 3.88%      IDA: 1.374 ms
2075-phrase.npy: IDR: 87.30%     MR: 7.94%       FAR: 4.76%      IDA: 1.988 ms
2021-phrase.npy: IDR: 83.82%     MR: 5.78%       FAR: 10.40%     IDA: 1.503 ms
2012-phrase.npy: IDR: 86.14%     MR: 8.91%       FAR: 4.95%      IDA: 1.507 ms
2028-phrase.npy: IDR: 96.79%     MR: 1.07%       FAR: 2.14%      IDA: 0.815 ms
2079-phrase.npy: IDR: 92.22%     MR: 3.59%       FAR: 4.19%      IDA: 1.152 ms
2191-phrase.npy: IDR: 94.81%     MR: 2.22%       FAR: 2.96%      IDA: 1.651 ms
2156-phrase.npy: IDR: 98.24%     MR: 0.59%       FAR: 1.18%      IDA: 0.861 ms
2242-phrase.npy: IDR: 92.59%     MR: 3.70%       FAR: 3.70%      IDA: 1.496 ms
2128-phrase.npy: IDR: 96.13%     MR: 3.23%       FAR: 0.65%      IDA: 1.567 ms
2219-phrase.npy: IDR: 98.90%     MR: 1.10%       FAR: 0.00%      IDA: 0.930 ms
2126-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.421 ms
2120-phrase.npy: IDR: 95.92%     MR: 0.00%       FAR: 4.08%      IDA: 1.397 ms
2315-phrase.npy: IDR: 95.44%     MR: 0.38%       FAR: 4.18%      IDA: 0.668 ms
2305-phrase.npy: IDR: 99.47%     MR: 0.53%       FAR: 0.00%      IDA: 0.684 ms
2321-phrase.npy: IDR: 97.14%     MR: 0.95%       FAR: 1.90%      IDA: 0.609 ms
2276-phrase.npy: IDR: 87.84%     MR: 4.05%       FAR: 8.11%      IDA: 1.754 ms
2370-phrase.npy: IDR: 94.97%     MR: 3.14%       FAR: 1.89%      IDA: 1.663 ms
2351-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.702 ms
2296-phrase.npy: IDR: 93.02%     MR: 2.33%       FAR: 4.65%      IDA: 1.636 ms
2435-phrase.npy: IDR: 98.28%     MR: 1.72%       FAR: 0.00%      IDA: 0.454 ms
2424-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.951 ms
2328-phrase.npy: IDR: 99.52%     MR: 0.48%       FAR: 0.00%      IDA: 0.330 ms
2301-phrase.npy: IDR: 99.46%     MR: 0.54%       FAR: 0.00%      IDA: 0.599 ms
2487-phrase.npy: IDR: 97.35%     MR: 1.06%       FAR: 1.59%      IDA: 1.097 ms
2404-phrase.npy: IDR: 97.92%     MR: 1.39%       FAR: 0.69%      IDA: 0.325 ms
2443-phrase.npy: IDR: 95.92%     MR: 1.63%       FAR: 2.45%      IDA: 0.870 ms
2510-phrase.npy: IDR: 87.50%     MR: 4.17%       FAR: 8.33%      IDA: 1.307 ms
2514-phrase.npy: IDR: 89.14%     MR: 3.43%       FAR: 7.43%      IDA: 1.506 ms
2511-phrase.npy: IDR: 91.60%     MR: 4.20%       FAR: 4.20%      IDA: 1.266 ms
2542-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.201 ms
2516-phrase.npy: IDR: 88.63%     MR: 3.79%       FAR: 7.58%      IDA: 1.940 ms
2521-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.338 ms
2525-phrase.npy: IDR: 96.88%     MR: 1.25%       FAR: 1.88%      IDA: 1.539 ms
2555-phrase.npy: IDR: 87.90%     MR: 8.87%       FAR: 3.23%      IDA: 1.864 ms
2541-phrase.npy: IDR: 74.80%     MR: 1.63%       FAR: 23.58%     IDA: 1.128 ms
2556-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.919 ms
2582-phrase.npy: IDR: 91.07%     MR: 4.76%       FAR: 4.17%      IDA: 0.744 ms
2578-phrase.npy: IDR: 93.68%     MR: 3.68%       FAR: 2.63%      IDA: 1.747 ms
2585-phrase.npy: IDR: 98.76%     MR: 0.83%       FAR: 0.41%      IDA: 1.641 ms
2567-phrase.npy: IDR: 97.03%     MR: 1.49%       FAR: 1.49%      IDA: 0.984 ms
2574-phrase.npy: IDR: 92.31%     MR: 3.85%       FAR: 3.85%      IDA: 1.273 ms
2600-phrase.npy: IDR: 96.67%     MR: 3.33%       FAR: 0.00%      IDA: 0.553 ms
2588-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.341 ms
2605-phrase.npy: IDR: 89.53%     MR: 3.49%       FAR: 6.98%      IDA: 1.551 ms
2610-phrase.npy: IDR: 91.02%     MR: 2.45%       FAR: 6.53%      IDA: 2.001 ms
2602-phrase.npy: IDR: 88.20%     MR: 6.21%       FAR: 5.59%      IDA: 1.867 ms

identification_rate:0.9385 miss_rate:0.02795 false_alarm_rate:0.03359 identification_accuracy:0.001108
