1272-phrase.npy: IDR: 79.17%     MR: 3.47%       FAR: 17.36%     IDA: 1.613 ms
1277-phrase.npy: IDR: 99.38%     MR: 0.00%       FAR: 0.62%      IDA: 0.471 ms
1292-phrase.npy: IDR: 95.24%     MR: 0.00%       FAR: 4.76%      IDA: 2.331 ms
1270-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.474 ms
1289-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.596 ms
1293-phrase.npy: IDR: 77.95%     MR: 12.60%      FAR: 9.45%      IDA: 2.131 ms
1304-phrase.npy: IDR: 97.58%     MR: 2.42%       FAR: 0.00%      IDA: 0.871 ms
1314-phrase.npy: IDR: 99.11%     MR: 0.00%       FAR: 0.89%      IDA: 0.428 ms
1325-phrase.npy: IDR: 99.21%     MR: 0.00%       FAR: 0.79%      IDA: 1.235 ms
1390-phrase.npy: IDR: 78.05%     MR: 12.20%      FAR: 9.76%      IDA: 2.137 ms
1382-phrase.npy: IDR: 82.88%     MR: 9.91%       FAR: 7.21%      IDA: 2.833 ms
1399-phrase.npy: IDR: 88.72%     MR: 6.77%       FAR: 4.51%      IDA: 2.277 ms
1263-phrase.npy: IDR: 94.00%     MR: 2.00%       FAR: 4.00%      IDA: 1.127 ms
1330-phrase.npy: IDR: 96.67%     MR: 3.33%       FAR: 0.00%      IDA: 0.459 ms
1434-phrase.npy: IDR: 97.14%     MR: 0.48%       FAR: 2.38%      IDA: 0.818 ms
1418-phrase.npy: IDR: 99.13%     MR: 0.87%       FAR: 0.00%      IDA: 0.351 ms
1444-phrase.npy: IDR: 79.20%     MR: 4.80%       FAR: 16.00%     IDA: 1.842 ms
1397-phrase.npy: IDR: 70.45%     MR: 25.00%      FAR: 4.55%      IDA: 2.505 ms
1437-phrase.npy: IDR: 87.18%     MR: 5.13%       FAR: 7.69%      IDA: 1.805 ms
1407-phrase.npy: IDR: 91.30%     MR: 4.35%       FAR: 4.35%      IDA: 0.960 ms
1424-phrase.npy: IDR: 60.71%     MR: 17.86%      FAR: 21.43%     IDA: 2.454 ms
1402-phrase.npy: IDR: 33.33%     MR: 33.33%      FAR: 33.33%     IDA: 0.000 ms
1478-phrase.npy: IDR: 97.46%     MR: 1.69%       FAR: 0.85%      IDA: 0.908 ms
1470-phrase.npy: IDR: 89.29%     MR: 7.86%       FAR: 2.86%      IDA: 1.717 ms
1466-phrase.npy: IDR: 99.47%     MR: 0.53%       FAR: 0.00%      IDA: 0.364 ms
1484-phrase.npy: IDR: 95.77%     MR: 2.12%       FAR: 2.12%      IDA: 0.769 ms
1489-phrase.npy: IDR: 87.50%     MR: 3.12%       FAR: 9.38%      IDA: 2.204 ms
1549-phrase.npy: IDR: 98.59%     MR: 1.41%       FAR: 0.00%      IDA: 0.926 ms
1553-phrase.npy: IDR: 95.91%     MR: 1.17%       FAR: 2.92%      IDA: 1.374 ms
1547-phrase.npy: IDR: 80.43%     MR: 5.43%       FAR: 14.13%     IDA: 2.395 ms
1581-phrase.npy: IDR: 93.36%     MR: 2.84%       FAR: 3.79%      IDA: 2.329 ms
1564-phrase.npy: IDR: 99.04%     MR: 0.00%       FAR: 0.96%      IDA: 0.506 ms
1555-phrase.npy: IDR: 66.67%     MR: 0.00%       FAR: 33.33%     IDA: 0.094 ms
1601-phrase.npy: IDR: 96.80%     MR: 2.40%       FAR: 0.80%      IDA: 1.179 ms
1570-phrase.npy: IDR: 87.26%     MR: 5.19%       FAR: 7.55%      IDA: 1.553 ms
1548-phrase.npy: IDR: 96.25%     MR: 1.25%       FAR: 2.50%      IDA: 1.422 ms
1604-phrase.npy: IDR: 90.53%     MR: 2.37%       FAR: 7.10%      IDA: 1.667 ms
1638-phrase.npy: IDR: 75.00%     MR: 25.00%      FAR: 0.00%      IDA: 0.617 ms
1626-phrase.npy: IDR: 93.10%     MR: 2.76%       FAR: 4.14%      IDA: 0.191 ms
1624-phrase.npy: IDR: 60.00%     MR: 26.67%      FAR: 13.33%     IDA: 2.431 ms
1655-phrase.npy: IDR: 86.49%     MR: 5.41%       FAR: 8.11%      IDA: 1.961 ms
1641-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.485 ms
1620-phrase.npy: IDR: 94.42%     MR: 3.26%       FAR: 2.33%      IDA: 1.009 ms
1630-phrase.npy: IDR: 30.00%     MR: 30.00%      FAR: 40.00%     IDA: 1.963 ms
1658-phrase.npy: IDR: 95.98%     MR: 1.79%       FAR: 2.23%      IDA: 1.404 ms
1662-phrase.npy: IDR: 97.60%     MR: 2.40%       FAR: 0.00%      IDA: 1.346 ms
1671-phrase.npy: IDR: 98.84%     MR: 1.16%       FAR: 0.00%      IDA: 0.489 ms
1676-phrase.npy: IDR: 88.67%     MR: 3.33%       FAR: 8.00%      IDA: 2.473 ms
1664-phrase.npy: IDR: 89.57%     MR: 3.32%       FAR: 7.11%      IDA: 2.158 ms
1691-phrase.npy: IDR: 82.95%     MR: 5.68%       FAR: 11.36%     IDA: 2.034 ms
1683-phrase.npy: IDR: 94.97%     MR: 2.23%       FAR: 2.79%      IDA: 1.395 ms
1631-phrase.npy: IDR: 86.81%     MR: 4.40%       FAR: 8.79%      IDA: 2.076 ms
1748-phrase.npy: IDR: 98.95%     MR: 1.05%       FAR: 0.00%      IDA: 0.991 ms
1713-phrase.npy: IDR: 88.30%     MR: 2.13%       FAR: 9.57%      IDA: 1.664 ms
1722-phrase.npy: IDR: 91.53%     MR: 5.08%       FAR: 3.39%      IDA: 0.206 ms
1755-phrase.npy: IDR: 97.01%     MR: 1.80%       FAR: 1.20%      IDA: 1.341 ms
1760-phrase.npy: IDR: 83.15%     MR: 5.62%       FAR: 11.24%     IDA: 2.194 ms
1784-phrase.npy: IDR: 82.31%     MR: 4.76%       FAR: 12.93%     IDA: 1.943 ms
1776-phrase.npy: IDR: 87.50%     MR: 3.12%       FAR: 9.38%      IDA: 2.719 ms
1743-phrase.npy: IDR: 85.47%     MR: 7.27%       FAR: 7.27%      IDA: 2.013 ms
1803-phrase.npy: IDR: 78.72%     MR: 7.09%       FAR: 14.18%     IDA: 1.567 ms
1788-phrase.npy: IDR: 88.89%     MR: 5.82%       FAR: 5.29%      IDA: 1.759 ms
1785-phrase.npy: IDR: 79.23%     MR: 8.46%       FAR: 12.31%     IDA: 1.642 ms
1820-phrase.npy: IDR: 82.47%     MR: 5.19%       FAR: 12.34%     IDA: 2.209 ms
1789-phrase.npy: IDR: 94.92%     MR: 5.08%       FAR: 0.00%      IDA: 0.477 ms
1818-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.557 ms
1826-phrase.npy: IDR: 98.48%     MR: 1.52%       FAR: 0.00%      IDA: 0.485 ms
1831-phrase.npy: IDR: 89.80%     MR: 3.57%       FAR: 6.63%      IDA: 1.802 ms
1835-phrase.npy: IDR: 76.22%     MR: 15.24%      FAR: 8.54%      IDA: 1.169 ms
1829-phrase.npy: IDR: 86.98%     MR: 4.17%       FAR: 8.85%      IDA: 2.073 ms
1836-phrase.npy: IDR: 78.26%     MR: 13.04%      FAR: 8.70%      IDA: 1.266 ms
1825-phrase.npy: IDR: 92.56%     MR: 2.48%       FAR: 4.96%      IDA: 1.913 ms
1867-phrase.npy: IDR: 85.71%     MR: 7.79%       FAR: 6.49%      IDA: 1.597 ms
1832-phrase.npy: IDR: 90.16%     MR: 9.02%       FAR: 0.82%      IDA: 1.225 ms
1901-phrase.npy: IDR: 86.26%     MR: 7.69%       FAR: 6.04%      IDA: 1.889 ms
1863-phrase.npy: IDR: 88.94%     MR: 2.55%       FAR: 8.51%      IDA: 2.078 ms
1939-phrase.npy: IDR: 89.92%     MR: 0.84%       FAR: 9.24%      IDA: 1.251 ms
1955-phrase.npy: IDR: 89.00%     MR: 4.81%       FAR: 6.19%      IDA: 1.871 ms
1830-phrase.npy: IDR: 97.59%     MR: 1.81%       FAR: 0.60%      IDA: 0.709 ms
1892-phrase.npy: IDR: 85.53%     MR: 5.26%       FAR: 9.21%      IDA: 1.175 ms
2007-phrase.npy: IDR: 95.73%     MR: 0.00%       FAR: 4.27%      IDA: 1.048 ms
2009-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.374 ms
2014-phrase.npy: IDR: 96.43%     MR: 1.19%       FAR: 2.38%      IDA: 0.284 ms
1970-phrase.npy: IDR: 95.67%     MR: 1.92%       FAR: 2.40%      IDA: 1.018 ms
2002-phrase.npy: IDR: 87.76%     MR: 3.38%       FAR: 8.86%      IDA: 1.870 ms
2033-phrase.npy: IDR: 72.73%     MR: 13.64%      FAR: 13.64%     IDA: 2.574 ms
2073-phrase.npy: IDR: 95.88%     MR: 0.75%       FAR: 3.37%      IDA: 1.347 ms
2078-phrase.npy: IDR: 99.25%     MR: 0.75%       FAR: 0.00%      IDA: 0.384 ms
2024-phrase.npy: IDR: 96.97%     MR: 3.03%       FAR: 0.00%      IDA: 0.187 ms
2058-phrase.npy: IDR: 83.87%     MR: 12.90%      FAR: 3.23%      IDA: 0.261 ms
2086-phrase.npy: IDR: 92.19%     MR: 3.12%       FAR: 4.69%      IDA: 1.421 ms
2072-phrase.npy: IDR: 98.17%     MR: 1.83%       FAR: 0.00%      IDA: 1.175 ms
2083-phrase.npy: IDR: 94.29%     MR: 1.14%       FAR: 4.57%      IDA: 1.320 ms
2088-phrase.npy: IDR: 96.97%     MR: 1.01%       FAR: 2.02%      IDA: 1.716 ms
2100-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.177 ms
2115-phrase.npy: IDR: 92.11%     MR: 2.63%       FAR: 5.26%      IDA: 1.837 ms
2109-phrase.npy: IDR: 91.78%     MR: 2.28%       FAR: 5.94%      IDA: 1.348 ms
2150-phrase.npy: IDR: 84.25%     MR: 4.79%       FAR: 10.96%     IDA: 2.294 ms
2152-phrase.npy: IDR: 96.64%     MR: 2.52%       FAR: 0.84%      IDA: 0.387 ms
2160-phrase.npy: IDR: 86.08%     MR: 4.43%       FAR: 9.49%      IDA: 2.212 ms
2148-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.258 ms
2153-phrase.npy: IDR: 89.80%     MR: 4.08%       FAR: 6.12%      IDA: 1.685 ms
2155-phrase.npy: IDR: 93.18%     MR: 1.52%       FAR: 5.30%      IDA: 1.626 ms
2216-phrase.npy: IDR: 96.30%     MR: 0.00%       FAR: 3.70%      IDA: 1.013 ms
2237-phrase.npy: IDR: 68.75%     MR: 10.42%      FAR: 20.83%     IDA: 2.206 ms
2190-phrase.npy: IDR: 91.47%     MR: 2.33%       FAR: 6.20%      IDA: 1.437 ms
2192-phrase.npy: IDR: 99.37%     MR: 0.63%       FAR: 0.00%      IDA: 0.808 ms
2218-phrase.npy: IDR: 94.57%     MR: 2.72%       FAR: 2.72%      IDA: 1.528 ms
2235-phrase.npy: IDR: 55.56%     MR: 11.11%      FAR: 33.33%     IDA: 3.040 ms
2182-phrase.npy: IDR: 84.15%     MR: 9.76%       FAR: 6.10%      IDA: 0.931 ms
2330-phrase.npy: IDR: 94.74%     MR: 1.75%       FAR: 3.51%      IDA: 1.810 ms
2274-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.207 ms
