2112-phrase.npy: IDR: 77.48%     MR: 9.93%       FAR: 12.58%     IDA: 2.259 ms
2297-phrase.npy: IDR: 90.51%     MR: 3.80%       FAR: 5.70%      IDA: 1.403 ms
2267-phrase.npy: IDR: 83.72%     MR: 7.44%       FAR: 8.84%      IDA: 1.659 ms
2302-phrase.npy: IDR: 82.89%     MR: 7.89%       FAR: 9.21%      IDA: 1.300 ms
2265-phrase.npy: IDR: 95.07%     MR: 3.45%       FAR: 1.48%      IDA: 0.568 ms
2303-phrase.npy: IDR: 88.29%     MR: 6.31%       FAR: 5.41%      IDA: 1.371 ms
2308-phrase.npy: IDR: 84.77%     MR: 7.95%       FAR: 7.28%      IDA: 1.869 ms
2312-phrase.npy: IDR: 79.58%     MR: 9.15%       FAR: 11.27%     IDA: 1.887 ms
2313-phrase.npy: IDR: 97.14%     MR: 1.90%       FAR: 0.95%      IDA: 0.405 ms
2310-phrase.npy: IDR: 94.95%     MR: 3.03%       FAR: 2.02%      IDA: 0.950 ms
2360-phrase.npy: IDR: 83.61%     MR: 4.10%       FAR: 12.30%     IDA: 1.257 ms
2357-phrase.npy: IDR: 88.64%     MR: 4.55%       FAR: 6.82%      IDA: 0.936 ms
2359-phrase.npy: IDR: 80.30%     MR: 12.12%      FAR: 7.58%      IDA: 1.746 ms
2318-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.133 ms
2327-phrase.npy: IDR: 98.40%     MR: 1.60%       FAR: 0.00%      IDA: 0.362 ms
2314-phrase.npy: IDR: 96.93%     MR: 1.84%       FAR: 1.23%      IDA: 0.522 ms
2336-phrase.npy: IDR: 98.92%     MR: 0.54%       FAR: 0.54%      IDA: 0.182 ms
2340-phrase.npy: IDR: 99.25%     MR: 0.00%       FAR: 0.75%      IDA: 0.099 ms
2382-phrase.npy: IDR: 92.74%     MR: 4.84%       FAR: 2.42%      IDA: 0.808 ms
2410-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.436 ms
2365-phrase.npy: IDR: 91.30%     MR: 2.17%       FAR: 6.52%      IDA: 0.265 ms
2417-phrase.npy: IDR: 98.45%     MR: 0.52%       FAR: 1.04%      IDA: 0.087 ms
2413-phrase.npy: IDR: 98.00%     MR: 1.00%       FAR: 1.00%      IDA: 0.981 ms
2416-phrase.npy: IDR: 82.56%     MR: 9.30%       FAR: 8.14%      IDA: 1.933 ms
2419-phrase.npy: IDR: 99.38%     MR: 0.62%       FAR: 0.00%      IDA: 0.388 ms
2367-phrase.npy: IDR: 95.27%     MR: 1.18%       FAR: 3.55%      IDA: 0.781 ms
2429-phrase.npy: IDR: 89.74%     MR: 1.71%       FAR: 8.55%      IDA: 0.205 ms
2427-phrase.npy: IDR: 94.15%     MR: 1.60%       FAR: 4.26%      IDA: 0.836 ms
2442-phrase.npy: IDR: 93.10%     MR: 1.72%       FAR: 5.17%      IDA: 1.263 ms
2431-phrase.npy: IDR: 80.43%     MR: 9.78%       FAR: 9.78%      IDA: 2.008 ms
2446-phrase.npy: IDR: 84.15%     MR: 7.32%       FAR: 8.54%      IDA: 1.100 ms
2432-phrase.npy: IDR: 68.33%     MR: 16.67%      FAR: 15.00%     IDA: 1.861 ms
2444-phrase.npy: IDR: 98.10%     MR: 1.90%       FAR: 0.00%      IDA: 0.132 ms
2445-phrase.npy: IDR: 83.87%     MR: 8.29%       FAR: 7.83%      IDA: 1.467 ms
2448-phrase.npy: IDR: 95.56%     MR: 2.67%       FAR: 1.78%      IDA: 1.142 ms
2459-phrase.npy: IDR: 87.74%     MR: 6.60%       FAR: 5.66%      IDA: 1.451 ms
2477-phrase.npy: IDR: 83.89%     MR: 6.11%       FAR: 10.00%     IDA: 1.742 ms
2497-phrase.npy: IDR: 99.15%     MR: 0.00%       FAR: 0.85%      IDA: 0.081 ms
2457-phrase.npy: IDR: 95.20%     MR: 2.95%       FAR: 1.85%      IDA: 1.024 ms
2483-phrase.npy: IDR: 90.64%     MR: 4.68%       FAR: 4.68%      IDA: 0.561 ms
2502-phrase.npy: IDR: 95.53%     MR: 2.23%       FAR: 2.23%      IDA: 0.985 ms
2505-phrase.npy: IDR: 80.00%     MR: 6.67%       FAR: 13.33%     IDA: 2.121 ms
2504-phrase.npy: IDR: 82.26%     MR: 12.90%      FAR: 4.84%      IDA: 1.219 ms
2524-phrase.npy: IDR: 95.19%     MR: 3.85%       FAR: 0.96%      IDA: 0.332 ms
2499-phrase.npy: IDR: 85.57%     MR: 6.47%       FAR: 7.96%      IDA: 1.850 ms
2481-phrase.npy: IDR: 99.70%     MR: 0.00%       FAR: 0.30%      IDA: 0.186 ms
2506-phrase.npy: IDR: 54.30%     MR: 3.76%       FAR: 41.94%     IDA: 2.285 ms
2601-phrase.npy: IDR: 82.05%     MR: 4.49%       FAR: 13.46%     IDA: 1.080 ms
2528-phrase.npy: IDR: 89.07%     MR: 5.30%       FAR: 5.63%      IDA: 1.694 ms

identification_rate:0.8816 miss_rate:0.05257 false_alarm_rate:0.06587 identification_accuracy:0.001174
