2107-phrase.npy: IDR: 85.71%     MR: 7.14%       FAR: 7.14%      IDA: 1.548 ms
2123-phrase.npy: IDR: 88.10%     MR: 5.56%       FAR: 6.35%      IDA: 1.505 ms
2213-phrase.npy: IDR: 73.33%     MR: 14.29%      FAR: 12.38%     IDA: 2.189 ms
2134-phrase.npy: IDR: 87.16%     MR: 4.73%       FAR: 8.11%      IDA: 0.909 ms
2275-phrase.npy: IDR: 87.50%     MR: 12.50%      FAR: 0.00%      IDA: 0.132 ms
2246-phrase.npy: IDR: 80.00%     MR: 0.00%       FAR: 20.00%     IDA: 1.557 ms
2302-phrase.npy: IDR: 82.89%     MR: 7.89%       FAR: 9.21%      IDA: 1.300 ms
2112-phrase.npy: IDR: 77.48%     MR: 9.93%       FAR: 12.58%     IDA: 2.259 ms
2312-phrase.npy: IDR: 79.58%     MR: 9.15%       FAR: 11.27%     IDA: 1.887 ms
2310-phrase.npy: IDR: 94.95%     MR: 3.03%       FAR: 2.02%      IDA: 0.950 ms
2372-phrase.npy: IDR: 81.25%     MR: 8.75%       FAR: 10.00%     IDA: 2.004 ms
2316-phrase.npy: IDR: 98.17%     MR: 0.46%       FAR: 1.37%      IDA: 0.218 ms
2317-phrase.npy: IDR: 74.55%     MR: 11.82%      FAR: 13.64%     IDA: 2.246 ms
2337-phrase.npy: IDR: 53.33%     MR: 23.33%      FAR: 23.33%     IDA: 1.983 ms
2336-phrase.npy: IDR: 98.92%     MR: 0.54%       FAR: 0.54%      IDA: 0.182 ms
2339-phrase.npy: IDR: 98.31%     MR: 1.12%       FAR: 0.56%      IDA: 0.201 ms
2431-phrase.npy: IDR: 80.43%     MR: 9.78%       FAR: 9.78%      IDA: 2.008 ms
2433-phrase.npy: IDR: 88.00%     MR: 5.14%       FAR: 6.86%      IDA: 1.512 ms
2520-phrase.npy: IDR: 98.43%     MR: 0.00%       FAR: 1.57%      IDA: 0.441 ms
2526-phrase.npy: IDR: 84.08%     MR: 3.18%       FAR: 12.74%     IDA: 1.058 ms
2452-phrase.npy: IDR: 93.88%     MR: 2.55%       FAR: 3.57%      IDA: 1.058 ms
2441-phrase.npy: IDR: 94.22%     MR: 2.89%       FAR: 2.89%      IDA: 0.886 ms
2534-phrase.npy: IDR: 77.85%     MR: 10.74%      FAR: 11.41%     IDA: 2.442 ms
2517-phrase.npy: IDR: 97.32%     MR: 2.30%       FAR: 0.38%      IDA: 0.127 ms
2489-phrase.npy: IDR: 99.15%     MR: 0.85%       FAR: 0.00%      IDA: 0.167 ms
2533-phrase.npy: IDR: 76.92%     MR: 8.65%       FAR: 14.42%     IDA: 1.681 ms
2577-phrase.npy: IDR: 82.17%     MR: 6.98%       FAR: 10.85%     IDA: 1.141 ms
2528-phrase.npy: IDR: 89.07%     MR: 5.30%       FAR: 5.63%      IDA: 1.694 ms
2535-phrase.npy: IDR: 89.03%     MR: 5.81%       FAR: 5.16%      IDA: 1.031 ms

identification_rate:0.8722 miss_rate:0.05812 false_alarm_rate:0.06973 identification_accuracy:0.001261
